time,temp,hum,dist
2023-01-30 18:51:49.290512,22,60,16
2023-01-30 18:51:52.900522,22,68,7
2023-01-30 18:51:56.465147,23,73,20
2023-01-30 18:51:59.851707,23,76,30
2023-01-30 18:52:04.150642,23,78,7
2023-01-30 18:52:07.273377,23,78,13
2023-01-30 18:52:11.561222,23,67,11
2023-01-30 18:52:14.732364,23,66,16
2023-01-30 18:52:19.494472,23,44,23
2023-01-30 18:52:24.707474,23,56,121
2023-01-30 18:52:28.573398,23,68,29
